9수01-01 | 소인수분해의 뜻을 알고, 자연수를 소인수분해 할 수 있다.
9수01-02 | 소인수분해를 이용하여 최대공약수와 최소공배수를 구할 수 있다.
9수01-03 | 다양한 상황을 이용하여 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해한다.
9수01-04 | 정수와 유리수의 대소 관계를 판단할 수 있다.
9수01-05 | 정수와 유리수의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다.
9수01-06 | 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.
9수01-07 | 제곱근의 뜻과 성질을 알고, 제곱근의 대소 관계를 판단할 수 있다.
9수01-08 | 무리수의 개념을 이해하고, 무리수의 유용성을 인식할 수 있다.
9수01-09 | 실수의 대소 관계를 판단하고 설명할 수 있다.
9수01-10 | 근호를 포함한 식의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다.
9수02-01 | 다양한 상황을 문자를 사용한 식으로 나타내어 그 유용성을 인식하고, 식의 값을 구할 수 있다.
9수02-02 | 일차식의 덧셈과 뺄셈의 원리를 이해하고, 그 계산을 할 수 있다.
itest-flow-019fbe8a-6bf9-751c-a742-df55d4d8eca2 | 통합테스트 개념 | -
itest-flow-019fbe93-3ce6-74fb-8b67-624b6f6e0a04 | 통합테스트 개념 | -
itest-flow-019fbec5-4aee-76af-993e-dfd1d2767ebb | 통합테스트 개념 | -
itest-flow-019fbfd0-8013-757f-a85e-3cfa3e7d6d78 | 통합테스트 개념 | -
itest-flow-019fbfd1-fa8f-74fe-bf51-6520cb1ab532 | 통합테스트 개념 | -
itest-flow-019fbfdb-1873-74be-a6f1-f6ed09c40ccb | 통합테스트 개념 | -
itest-flow-019fbfe1-9eb2-759a-be21-6d9ec0469b2c | 통합테스트 개념 | -
itest-flow-019fbff3-f664-776f-9215-ceaac21e2188 | 통합테스트 개념 | -
itest-flow-019fc025-db9e-710b-946f-e006be1f400b | 통합테스트 개념 | -
itest-flow-019fc02d-b19d-774d-855b-5ec5d916f4d8 | 통합테스트 개념 | -
itest-flow-019fc033-431d-772d-8162-e56fc6449a41 | 통합테스트 개념 | -
itest-flow-019fc03d-48a7-736e-b88f-9616906cfd1e | 통합테스트 개념 | -
itest-flow-019fc046-0ebf-755b-9fc6-b2517656d7fb | 통합테스트 개념 | -
itest-flow-019fc046-604c-7204-a40d-760b3fa6faf7 | 통합테스트 개념 | -
itest-flow-019fc04a-5678-7329-891c-7247508747a3 | 통합테스트 개념 | -
itest-flow-019fc055-bf84-744f-ba25-0d2deae06014 | 통합테스트 개념 | -
itest-flow-019fc05a-1e87-739a-accf-844161b9c99d | 통합테스트 개념 | -
itest-flow-019fc085-1bce-7072-b7c2-8466f4f5a284 | 통합테스트 개념 | -
itest-flow-019fc1ad-71d6-753b-8794-538dd30bc5cd | 통합테스트 개념 | -
itest-flow-019fc1b3-2b73-708a-bf88-ac9ca23ae880 | 통합테스트 개념 | -
itest-flow-019fc1b5-f617-765b-a22b-6d26f0758f54 | 통합테스트 개념 | -
itest-flow-019fc29e-9f87-71bf-9ec0-12d60e241bf1 | 통합테스트 개념 | -
itest-flow-019fc2c1-2271-76e1-ac40-68f139da2226 | 통합테스트 개념 | -
itest-flow-019fc2e6-3a45-7050-a9ff-688515037240 | 통합테스트 개념 | -
itest-flow-019fc315-b1e7-7788-b66b-a15ab97ca303 | 통합테스트 개념 | -
itest-flow-019fc363-348b-7276-ae69-48c21f75aa48 | 통합테스트 개념 | -
itest-flow-019fc5dc-b7c1-71ad-b516-caaa3c4aa975 | 통합테스트 개념 | -
itest-flow-019fc5e5-a0ec-703f-917c-cd131c4922d5 | 통합테스트 개념 | -
itest-forgetting-curve | 통합테스트 개념 (망각곡선) | -
itest-review-selection-fading | 복습출제 개념 fading | -
itest-review-selection-forgotten | 복습출제 개념 forgotten | -
itest-review-selection-fresh | 복습출제 개념 fresh | -
itest-rs-019fbfdf-cd91-756c-8247-7528cffce6b3 | 복습출제 개념 forgotten | -
itest-rs-019fbfdf-cd91-756c-8247-81e5cc5c3e22 | 복습출제 개념 fading | -
itest-rs-019fbfdf-cd91-756c-8247-8d41e8daa513 | 복습출제 개념 fresh | -
itest-rs-019fbfe1-dcc5-7568-9b25-3a7ab25b36b2 | 복습출제 개념 forgotten | -
itest-rs-019fbfe1-dcc5-7568-9b25-460b0eb43ca3 | 복습출제 개념 fading | -
itest-rs-019fbfe1-dcc5-7568-9b25-53de37528c10 | 복습출제 개념 fresh | -
itest-rs-019fbff4-1adc-7162-8245-82c23c59125c | 복습출제 개념 forgotten | -
itest-rs-019fbff4-1adc-7162-8245-8df3fc2a9b0e | 복습출제 개념 fading | -
